player_name,Role,sold_price,team,year,Player Origin,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy,value_score,normalized_score,fair_price,difference,status
Bhanuka Rajapaksa,Batsman,5000000,Punjab Kings,2022,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,5000000,Overpaid
Bhuvneshwar Kumar,Bowler,42500000,Sunrisers Hyderabad,2014,Overseas,1,4,2,25,21,362,327,54.5,6.642201835,5.97,1.9149700355149495,40356412.51186413,2143587.488135867,Overpaid
Bhuvneshwar Kumar,Bowler,42000000,Sunrisers Hyderabad,2022,Indian,24,28,6,85.71428571,13,394,330,55,7.163636364,26.047142856499995,8.355024804183378,176075249.89486918,-134075249.9,Undervalued
Billy Stanlake,Bowler,3000000,Royal Challengers Bangalore,2017,Overseas,0,0,0,0,2,70,50,8.333333333,8.4,0.1,0.03207655,675986.8092439554,2324013.1907560444,Overpaid
Billy Stanlake,Batsman,5000000,Sunrisers Hyderabad,2018,Overseas,5,2,1,250,5,130,100,16.66666667,7.8,40.269999999999996,12.917226688473537,272219888.0825408,-267219888.1,Undervalued
Bipul Sharma,All-Rounder,2000000,Sunrisers Hyderabad,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Brad Hodge,Batsman,24000000,Rajasthan Royals,2014,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,24000000,Overpaid
Brad Hogg,Bowler,5000000,Kolkata Knight Riders,2015,Overseas,7,6,2,116.6666667,10,148,127,21.16666667,6.992125984,21.750000004999993,6.9766496284798984,147027131.0443596,-142027131,Undervalued
Brendan Taylor,Wicket Keeper,3000000,Sunrisers Hyderabad,2014,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Brendon McCullum,Wicket Keeper,32500000,Chennai Super Kings,2014,Overseas,405,341,14,118.7683284,0,0,0,0,0,197.1452493,63.23739446851354,1332675880.0487168,-1300175880,Undervalued
Brendon McCullum,Batsman,36000000,Royal Challengers Bangalore,2018,Overseas,127,91,6,139.5604396,0,0,0,0,0,77.76406594,24.9440295,525674828.08617145,-489674828.1,Undervalued
C Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2021,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
C.Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
C.M. Gautam,Wicket Keeper,2000000,Mumbai Indians,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
C.M. Gautam,Wicket Keeper,2000000,Delhi Daredevils,2015,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Cameron Delport,All-Rounder,3000000,Kolkata Knight Riders,2018,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Carlos Brathwaite,All-Rounder,42000000,Delhi Daredevils,2016,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,42000000,Overpaid
Carlos Brathwaite,All-Rounder,20000000,Sunrisers Hyderabad,2018,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,20000000,Overpaid
Carlos Brathwaite,All-Rounder,50000000,Kolkata Knight Riders,2019,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,50000000,Overpaid
Chaitanya Bishnoi,All-Rounder,2000000,Chennai Super Kings,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Chama Milind,Bowler,1000000,Sunrisers Hyderabad,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
